,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
10,Null,Квентин Тарантино,США,«Just because you are a character doesn't mean you have character»,Null,Null,"Русский, Русский 5.1, Русский (Кубик в Кубе 18+), Русский 5.1 (Кубик в Кубе 18+), Английский, Английский 5.1",Null,Анджей Секула,"21 мая 1994, ...","Дэвид Уоско, Чарльз Коллам, Бетси Хайман, ...","Квентин Тарантино, Роджер Эвери","29 сентября 1995, «Аргус-СВ»","11 сентября 2013, «Кармен Видео»",Салли Менке,$107 928 762,Null,25.4 млн,"криминал, драма","31 января 2002, «West Video»",R,"Лоуренс Бендер, Дэнни ДеВито, Ричард Н. Гладштейн, ...",—,Null,154 мин. / 02:34,18+,1994,Русские,"27 декабря 2012, «Каравелла DDC»",+ $106 000 000 = $213 928 762,$8 000 000,$83 843,"['Криминальное чтиво (1994)', 'Pulp Fiction18+']"
11,Null,Леонид Гайдай,СССР,—,Null,Null,Русский,Аркадий Ашкинази,"Виталий Абрамов, Сергей Полуянов","17 сентября 1973, ...",Евгений Куманьков,"Владлен Бахнов, Леонид Гайдай, Михаил Булгаков",Null,"9 марта 2011, «Парадиз»",Клавдия Алеева,Null,Null,60.7 млн,"комедия, фантастика, приключения","9 июня 2009, «Lizard Cinema Trade»",Null,Null,Александр Зацепин,Null,88 мин. / 01:28,6+,1973,Нет,Null,Null,Null,Null,"['Иван Васильевич меняет профессию (1973)', '6+']"
12,Null,"Оливье Накаш, Эрик Толедано",Франция,«Sometimes you have to reach into someone else's world to find out what's missing in your own»,Null,Null,Null,Null,Матьё Вадпьед,"23 сентября 2011, ...","Франсуа Эммануэлли, Матьё Вадпьед, Изабель Паннетье, ...","Оливье Накаш, Филипп Поццо ди Борго, Эрик Толедано","26 апреля 2012, «Каскад фильм»","25 июня 2012, «Новый Диск»",Дориан Ригаль-Ансу,$10 198 820,Null,19.4 млн,"драма, комедия, биография","28 мая 2012, «Новый Диск»",R,"Николя Дюваль-Адассовски, Лоран Зэйтун, Ян Зеноу, ...",Людовико Эйнауди,Null,112 мин. / 01:52,16+,2011,Null,Null,+ $416 389 690 = $426 588 510,€9 500 000,$1 725 813,"['1+1 (2011)', 'Intouchables16+']"
13,Null,"Роджер Аллерс, Роб Минкофф",США,«The Circle of Life»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"12 июня 1994, ...","Крис Сандерс, Ральф Эгглстон, Энди Гэскилл","Ирен Меччи, Джонатан Робертс, Линда Вулвертон, ...",22 марта 2012,"24 апреля 2012, «Уолт Дисней Компани СНГ»",Иван Биланкио,$312 855 561,Null,89.1 млн,"мультфильм, мюзикл, драма, приключения, семейный","24 апреля 2012, «Уолт Дисней Компани СНГ»",G,"Дон Хан, Элис Дьюи, Джеффри Катценберг, ...",Ханс Циммер,Null,88 мин. / 01:28,0+,1994,"Русские, Английские","22 марта 2012, «WDSSPR»",+ $450 600 000 = $763 455 561,$45 000 000,Null,"['Король Лев (1994)', 'The Lion King0+']"
14,Null,Кристофер Нолан,"США, Великобритания",«Добро пожаловать в мир Хаоса!»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Уолли Пфистер,"14 июля 2008, ...","Нэйтан Краули, Марк Бартоломью, Джеймс Хэмбридж, ...","Джонатан Нолан, Кристофер Нолан, Дэвид С. Гойер, ...","14 августа 2008, «Каро-Премьер»","27 января 2009, «Юниверсал Пикчерс Рус»",Ли Смит,$533 345 358,Null,74.3 млн,"фантастика, боевик, триллер, криминал, драма","9 декабря 2008, «Юниверсал Пикчерс Рус»",PG-13,"Кристофер Нолан, Чарльз Ровен, Эмма Томас, ...","Джеймс Ньютон Ховард, Ханс Циммер",Null,152 мин. / 02:32,16+,2008,"Русские, Перевод надписей, Английские",Null,+ $469 700 000 = $1 003 045 358,$185 000 000,$8 589 100,"['Темный рыцарь (2008)', 'The Dark Knight16+']"
15,Null,Дэвид Финчер,"США, Германия",«Интриги. Хаос. Мыло»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Джефф Кроненвет,"10 сентября 1999, ...","Алекс Макдауэлл, Крис Горак, Майкл Каплан, ...","Джим Улс, Чак Паланик","13 января 2000, «Гемини»","17 декабря 2009, «Двадцатый Век Фокс СНГ»",Джеймс Хэйгуд,$37 030 102,Null,7.3 млн,"триллер, драма, криминал","9 августа 2007, «Двадцатый Век Фокс СНГ»",R,"Росс Грэйсон Белл, Сиан Чаффин, Джон С. Дорси, ...","Даст Бразерс, Джон Кинг, Майкл Симпсон",Null,139 мин. / 02:19,18+,1999,"Русские, Английские","25 июля 2019, «Иноекино»",+ $63 823 651 = $100 853 753,$63 000 000,$334 590,"['Бойцовский клуб (1999)', 'Fight Club18+']"
16,Null,Хаяо Миядзаки,Япония,«The tunnel led Chihiro to a mysterious town...»,Null,Null,"Русский, Русский 5.1, Русский (Reanimedia), Русский 5.1 (Reanimedia), Японский, Японский 5.1",Null,Ацуси Окуи,"20 июля 2001, ...","Норобу Ёсида, Ёдзи Такэсигэ",Хаяо Миядзаки,"31 декабря 2002, «Централ Партнершип»",Null,Такэси Сэяма,$13 750 644,Null,23.5 млн,"аниме, мультфильм, фэнтези, приключения, семейный","8 сентября 2005, «CP-Digital»",PG,"Тосио Судзуки, Хиронори Аихара, Ясуёси Токума, ...",Дзё Хисаиси,Null,125 мин. / 02:05,12+,2001,"Русские, Английские","27 декабря 2018, «Пионер»",+ $341 716 432 = $355 467 076,$19 000 000,Null,"['Унесённые призраками (2001)', 'Sen to Chihiro no kamikakushi12+']"
17,Null,Игорь Масленников,СССР,—,Null,Null,Русский,Григорий Прусовский,"Дмитрий Долинин, Владимир Ильин",25 июля 1981,"Белла Маневич-Каплан, Нелли Лев, Римма Штиль","Игорь Масленников, Артур Конан Дойл, Юрий Векслер",Null,"10 декабря 2013, «Lizard Cinema Trade»",Людмила Образумова,Null,Null,Null,"детектив, криминал","9 февраля 2010, «Lizard Cinema Trade»",Null,Null,Владимир Дашкевич,Null,154 мин. / 02:34,6+,1981,Нет,Null,Null,Null,Null,"['Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей (ТВ, 1981)', '6+']"
18,Null,Эндрю Стэнтон,США,«Любовь - дело техники»,Null,Null,"Русский, Русский 5.1, Английский, Казахский",Null,Мартин Розенберг,"21 июня 2008, ...","Ральф Эгглстон, Берт Берри, Энтони Христов, ...","Джим Рирдон, Эндрю Стэнтон, Пит Доктер","3 июля 2008, «BVSPR»","27 августа 2009, «Уолт Дисней Компани СНГ»",Стефен Шаффер,$223 808 164,Null,31.2 млн,"мультфильм, фантастика, приключения, семейный","20 ноября 2008, «Buena Vista/Walt Disney»",G,"Линдси Коллинз, Джон Лассетер, Джиллиан Либберт, ...",Томас Ньюман,Null,98 мин. / 01:38,0+,2008,"Русские, Английские",Null,+ $297 503 696 = $521 311 860,$180 000 000,$11 697 500,"['ВАЛЛ·И (2008)', 'WALL·E0+']"
19,Null,Ридли Скотт,"США, Великобритания, Мальта, Марокко","«Генерал, ставший рабом. Раб, ставший гладиатором. Гладиатор, бросивший вызов империи»",$42 700 000,Null,"Русский, Английский, Английский 5.1",Null,Джон Мэтисон,"1 мая 2000, ...","Артур Макс, Джэнти Йэтс, Криспиан Саллис, ...","Джон Логан, Уильям Николсон, Дэвид Францони","18 мая 2000, «Ист-Вест»","6 октября 2009, «Юниверсал Пикчерс Рус»",Пьетро Скалия,$187 705 427,Null,34.8 млн,"история, боевик, драма, приключения",Null,R,"Дэвид Францони, Бранко Лустиг, Лори МакДональд, ...","Лиза Джеррард, Ханс Циммер",Null,155 мин. / 02:35,16+,2000,Русские,Null,+ $272 878 533 = $460 583 960,$103 000 000,$1 280 000,"['Гладиатор (2000)', 'Gladiator16+']"
