,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
60,Null,Леонид Гайдай,СССР,«Кинороман в 2-ух частях из жизни контрабандистов»,Null,Null,Русский,Аркадий Ашкинази,Игорь Черных,"28 апреля 1969, ...",Феликс Ясюкевич,"Леонид Гайдай, Яков Костюковский, Морис Слободской",Null,"20 декабря 2011, «Парадиз»",Валентина Янковская,Null,Null,76.7 млн,"комедия, криминал","29 апреля 2009, «Азимут»",PG-13,Null,Александр Зацепин,Null,94 мин. / 01:34,16+,1968,Нет,Null,Null,Null,Null,"['Бриллиантовая рука (1968)', '16+']"
61,Null,Сергей Бондарчук,СССР,—,Null,Null,Русский,Глеб Кузнецов,Владимир Монахов,"12 апреля 1959, ...","Ипполит Новодережкин, Сергей Воронков, Орест Верейский","Юрий Лукин, Федор Шахмагонов, Михаил Шолохов",Null,Null,Татьяна Лихачева,Null,Null,39.2 млн,"драма, военный",Null,Null,Null,Вениамин Баснер,Null,97 мин. / 01:37,12+,1959,Нет,Null,Null,Null,Null,"['Судьба человека (1959)', '12+']"
62,Null,Крис Коламбус,"Великобритания, США",«Зло вернулось в Хогвартс»,$50 000 000,Null,"Русский, Русский 5.1, Английский",Null,Роджер Прэтт,"3 ноября 2002, ...","Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...","Стивен Кловз, Дж.К. Роулинг","26 декабря 2002, «Каро-Премьер»","20 января 2009, «Юниверсал Пикчерс Рус»",Питер Хонесс,$261 988 482,Null,45.1 млн,"фэнтези, приключения, семейный","22 апреля 2003, «Premier Digital»",PG,"Дэвид Хейман, Майкл Барнатан, Дэвид Баррон, ...",Джон Уильямс,Null,161 мин. / 02:41,12+,2002,Русские,Null,+ $616 991 152 = $878 979 634,$100 000 000,$8 000 000,"['Гарри Поттер и Тайная комната (2002)', 'Harry Potter and the Chamber of Secrets12+']"
63,Null,Роман Полански,"Франция, Польша, Великобритания, Германия",«Music was his passion. Survival was his masterpiece»,$10 000 000,Null,Русский (SDI Media),Null,Павел Эдельман,"24 мая 2002, ...","Аллан Старски, Ненад Пекур, Анна Б. Шеппард, ...","Рональд Харвуд, Владислав Шпильман","8 мая 2003, «Союз»",Null,Эрве де Люз,$32 572 577,Null,5.2 млн,"драма, военный, биография, музыка","31 июля 2003, «Союз-Видео»",R,"Роберт Бенмусса, Роман Полански, Ален Сард, ...",Войцех Киляр,Null,149 мин. / 02:29,16+,2002,Нет,Null,+ $87 500 000 = $120 072 577,$35 000 000,$178 606,"['Пианист (2002)', 'The Pianist16+']"
64,Null,"Байрон Ховард, Рич Мур, Джаред Буш",США,«Welcome to the urban jungle»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Нэйтан Уорнер,"11 февраля 2016, ...","Дэн Купер, Дэвид Гетц, Маттиас Лехнер","Байрон Ховард, Рич Мур, Джаред Буш, ...","3 марта 2016, «WDSSPR»",Null,"Джереми Милтон, Фабьен Роули",$341 268 248,"7 июня 2016, «Уолт Дисней Компани СНГ»",Null,"мультфильм, комедия, криминал, детектив, приключения, семейный",Null,PG,"Моника Лаго-Кэйтис, Джон Лассетер, Брэд Симонсен, ...",Майкл Джаккино,Null,108 мин. / 01:48,6+,2016,"Русские, Английские",Null,+ $682 515 947 = $1 023 784 195,$150 000 000,$39 664 652,"['Зверополис (2016)', 'Zootopia6+']"
65,Null,"Дин ДеБлуа, Крис Сандерс",США,«One adventure will change two worlds»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Джил Циммерман,"18 марта 2010, ...","Кэти Алтери, Пьер-Оливье Винсент","Уильям Дэвис, Дин ДеБлуа, Крис Сандерс, ...","18 марта 2010, «Централ Партнершип»","2 ноября 2010, «Юниверсал Пикчерс Рус»","Марианн Брэндон, Даррен Т. Холмс",$217 581 231,Null,27.6 млн,"мультфильм, фэнтези, комедия, приключения, семейный","2 ноября 2010, «Юниверсал Пикчерс Рус»",PG,"Бонни Арнольд, Кристин Белсон, Сюзанн Бёрги, ...",Джон Пауэлл,Null,98 мин. / 01:38,6+,2010,Русские,Null,+ $277 297 528 = $494 878 759,$165 000 000,$23 485 237,"['Как приручить дракона (2010)', 'How to Train Your Dragon6+']"
66,Null,"Лана Вачовски, Лилли Вачовски","США, Австралия",«Добро пожаловать в реальный мир»,$30 000 000,Null,Null,Null,Билл Поуп,"24 марта 1999, ...","Оуэн Патерсон, Хью Бэйтап, Мишель МакГэхи, ...","Лилли Вачовски, Лана Вачовски","14 октября 1999, «Каро-Премьер»","27 января 2009, «Юниверсал Пикчерс Рус»",Зак Стэнберг,$171 479 930,Null,33.8 млн,"фантастика, боевик","12 сентября 2000, «Мост-Видео»",R,"Джоэл Силвер, Брюс Берман, Дэн Краччиоло, ...",Дон Дэвис,Null,136 мин. / 02:16,16+,1999,Null,"14 октября 2019, «Маурис Филм»",+ $292 037 453 = $463 517 383,$63 000 000,Null,"['Матрица (1999)', 'The Matrix16+']"
67,Null,Крис Коламбус,США,"«When Kevin's Family Left For Vacation, They Forgot One Minor Detail: Kevin. But Don't Worry... He Cooks. He Cleans. He Kicks Some Butt»",Null,Null,"Русский, Английский",Null,Хулио Макат,"10 ноября 1990, ...","Джон Муто, Дэн Уэбстер, Джей Хёрли, ...",Джон Хьюз,Null,Null,Раджа Госнелл,$285 761 243,Null,67.7 млн,"комедия, семейный","13 декабря 2005, «Гемини-Фильм»",PG,"Тарквин Готч, Джон Хьюз, Марк Левинсон, ...",Джон Уильямс,Null,103 мин. / 01:43,0+,1990,"Русские, Английские",Null,+ $190 923 432 = $476 684 675,$18 000 000,Null,"['Один дома (1990)', 'Home Alone0+']"
68,Null,"Брэд Бёрд, Ян Пинкава",США,«Он до смерти хочет стать шеф-поваром»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"22 июня 2007, ...","Харли Джессуп, Rodney G. Halls","Брэд Бёрд, Ян Пинкава, Джим Капобьянко, ...","28 июня 2007, «BVSPR»","11 февраля 2010, «Уолт Дисней Компани СНГ»",Даррен Т. Холмс,$206 445 654,Null,30 млн,"мультфильм, приключения, комедия, семейный, фэнтези, драма","24 мая 2011, «Уолт Дисней Компани СНГ»",G,"Джон Лассетер, Брэд Льюис, Эндрю Стэнтон, ...",Майкл Джаккино,Null,111 мин. / 01:51,0+,2007,"Русские, Английские",Null,+ $417 277 164 = $623 722 818,$150 000 000,$10 147 600,"['Рататуй (2007)', 'Ratatouille0+']"
69,Null,Леонид Гайдай,СССР,—,Null,Null,Русский,Л. Фрейдин,Константин Бровин,"1 апреля 1967, ...","Владимир Каплуновский, Н. Абакумов, Н. Шимилис","Леонид Гайдай, Яков Костюковский, Морис Слободской",Null,"26 мая 2011, «Парадиз»",Валентина Янковская,Null,Null,76.5 млн,"комедия, приключения, мелодрама, мюзикл","16 сентября 2008, «Lizard Cinema Trade»",Null,Null,Александр Зацепин,Null,82 мин. / 01:22,6+,1966,Нет,Null,Null,р. 25 313,Null,"['Кавказская пленница, или Новые приключения Шурика (1966)', '6+']"
70,Null,Фрэнсис Форд Коппола,США,«All the power on earth can't change destiny»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Гордон Уиллис,"12 декабря 1974, ...","Дин Тавуларис, Анджело П. Грэхэм, Джон Дэппер, ...","Фрэнсис Форд Коппола, Марио Пьюзо",Null,"19 августа 2013, «Новый Диск»","Бэрри Малкин, Ричард Маркс, Питер Зиннер",$47 542 841,Null,29.4 млн,"драма, криминал","24 ноября 2009, «Юниверсал Пикчерс Рус»",R,"Фрэнсис Форд Коппола, Грэй Фредериксон, Фред Рус, ...",Нино Рота,Null,202 мин. / 03:22,16+,1974,"Русские, Иностранная речь",Null,+ $100 594 = $47 643 435,$13 000 000,Null,"['Крестный отец 2 (1974)', 'The Godfather: Part II16+']"
71,Null,Кристофер Нолан,"США, Великобритания",«И разгорится пламя»,Null,Null,"Русский, Английский",Null,Уолли Пфистер,"16 июля 2012, ...","Нэйтан Краули, Кевин Кэвэно, Тоби Бриттон, ...","Джонатан Нолан, Кристофер Нолан, Дэвид С. Гойер, ...","26 июля 2012, «Каро-Премьер»","28 ноября 2012, «CP Дистрибуция»",Ли Смит,$448 139 099,Null,56.3 млн,"фантастика, боевик, триллер, драма, криминал","28 ноября 2012, «CP Дистрибуция»",PG-13,"Кристофер Нолан, Чарльз Ровен, Эмма Томас, ...",Ханс Циммер,Null,165 мин. / 02:45,16+,2012,"Русские, Английские, Перевод надписей",Null,+ $632 902 188 = $1 081 041 287,$250 000 000,$17 143 190,"['Темный рыцарь: Возрождение легенды (2012)', 'The Dark Knight Rises16+']"
72,Null,Роберт Земекис,США,«Лучшее путешествие они оставили напоследок... Но в этот раз они зашли слишком далеко...»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Дин Канди,"25 мая 1990, ...","Рик Картер, Марджи Стоун МакШирли, Уильям Джеймс Тигарден, ...","Роберт Земекис, Боб Гейл",Null,Null,"Гарри Керамидас, Артур Шмидт",$87 727 583,Null,20.7 млн,"фантастика, комедия, приключения, вестерн, семейный","20 ноября 2003, «Premier Digital»",PG,"Нил Кэнтон, Боб Гейл, Кэтлин Кеннеди, ...",Алан Сильвестри,Null,118 мин. / 01:58,12+,1990,Русские,Null,+ $156 800 000 = $244 527 583,$40 000 000,Null,"['Назад в будущее 3 (1990)', 'Back to the Future Part III12+']"
73,Null,Макото Синкай,Япония,"«Я ищу тебя, хотя не знаю, кто ты»",Null,Null,Null,Null,Макото Синкай,"3 июля 2016, ...","Акико Мадзима, Такуми Тандзи, Тасуку Ватанабэ",Макото Синкай,"7 сентября 2017, «Экспонента»",Null,Макото Синкай,$5 017 246,"6 октября 2017, «Экспонента»",3.7 млн,"аниме, мультфильм, фэнтези, драма, мелодрама",Null,PG,"Коитиро Ито, Норитака Кавагути, Гэнки Кавамура, ...",Radwimps,Null,110 мин. / 01:50,12+,2016,Null,Null,+ $352 968 841 = $357 986 087,Null,$654 416,"['Твоё имя (2016)', 'Kimi no na wa.12+']"
74,Null,Дэвид Йейтс,"Великобритания, США",«Все закончится»,Null,Null,"Русский, Русский 5.1, Английский",Null,Эдуарду Серра,"7 июля 2011, ...","Стюарт Крэйг, Эндрю Эклэнд-Сноу, Марк Бартоломью, ...","Стивен Кловз, Дж.К. Роулинг","13 июля 2011, «Каро-Премьер»","17 ноября 2011, «CP-Digital»",Марк Дэй,$381 011 219,Null,48 млн,"фэнтези, детектив, приключения, семейный","17 ноября 2011, «CP-Digital»",PG-13,"Дэвид Баррон, Дэвид Хейман, Дж.К. Роулинг, ...",Александр Деспла,Null,130 мин. / 02:10,12+,2011,Русские,Null,+ $960 500 000 = $1 341 511 219,$125 000 000,$37 185 546,"['Гарри Поттер и Дары Смерти: Часть II (2011)', 'Harry Potter and the Deathly Hallows: Part 212+']"
75,Null,Джордж Лукас,"США, Италия, Швейцария, Таиланд",«Сага окончена»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Дэвид Тэттерсолл,"12 мая 2005, ...","Гэвин Боке, Йен Грейси, Фил Харви, ...","Джордж Лукас, Джон Острандер, Jan Duursema","19 мая 2005, «Гемини Киномир»",Null,"Роджер Бартон, Бен Бертт",$380 270 577,Null,59.4 млн,"фантастика, боевик, фэнтези, приключения","20 декабря 2005, «Гемини-Фильм»",PG-13,"Джордж Лукас, Рик МакКаллум",Джон Уильямс,Null,140 мин. / 02:20,12+,2005,"Русские, Английские",Null,+ $469 727 028 = $849 997 605,$113 000 000,$8 360 000,"['Звёздные войны: Эпизод 3 — Месть ситхов (2005)', 'Star Wars: Episode III - Revenge of the Sith12+']"
76,Null,"Франко Кастеллано, Джузеппе Моччиа",Италия,—,Null,Null,"Русский, Итальянский",Null,Альфио Контини,"20 декабря 1980, ...","Бруно Амальфитано, Уэйн А. Финкелман","Франко Кастеллано, Джузеппе Моччиа, Уильям Шекспир",Null,Null,Антонио Сичильяно,Null,Null,56 млн,"мелодрама, комедия","5 декабря 2011, «Азимут»",Null,"Марио Чекки Гори, Витторио Чекки Гори",Детто Мариано,Null,107 мин. / 01:47,12+,1980,Нет,Null,Null,Null,Null,"['Укрощение строптивого (1980)', 'Il bisbetico domato12+']"
77,Null,"Тони Бэнкрофт, Бэрри Кук",США,«An Epic Motion Picture Event»,Null,Null,"Русский, Английский, Английский 5.1",Null,Null,"5 июня 1998, ...","Ханс Бахер, Рик Слуйтер","Рита Сяо, Крис Сандерс, Филип ЛаЗебник, ...","25 декабря 1998, «Каскад фильм»","26 февраля 2013, «Уолт Дисней Компани СНГ»",Майкл Келли,$120 620 254,Null,25.7 млн,"мультфильм, мюзикл, фэнтези, комедия, приключения, семейный, военный","17 августа 2010, «ВС трейд»",G,"Пэм Коутс, Роберт С. Гарбер, Кендра Хааланд",Джерри Голдсмит,Null,84 мин. / 01:24,0+,1998,"Русские, Английские",Null,+ $183 700 000 = $304 320 254,$90 000 000,Null,"['Мулан (1998)', 'Mulan0+']"
78,Null,Томм Мур,"Ирландия, Дания, Бельгия, Франция",—,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"6 сентября 2014, ...",Адриен Мериго,"Уилл Коллинз, Томм Мур","27 августа 2015, «Премиум Фильм»",Null,Дарра Бирн,$857 522,Null,Null,"мультфильм, фэнтези, драма, приключения, семейный",Null,PG,"Мэри Коллери, Клеман Кальве, Жереми Фажнер, ...",Бруно Куле,Null,93 мин. / 01:33,6+,2014,Русские,"22 декабря 2022, «Capella Film», «Иноекино»",+ $3 333 148 = $4 190 670,€5 300 000,$35 245,"['Песнь моря (2014)', 'Song of the Sea6+']"
79,Null,Владимир Меньшов,СССР,—,Null,Null,"Русский, Русский 5.1",Александр Литвинов,Юрий Невский,"7 января 1985, ...","Феликс Ясюкевич, Наталья Монева",Владимир Гуркин,Null,"15 декабря 2010, «Парадиз»",Регина Песецкая,Null,Null,44.5 млн,"мелодрама, комедия","11 января 2011, «Парадиз»",PG-13,Null,Валентин Левашов,Null,107 мин. / 01:47,12+,1984,Нет,Null,Null,Null,Null,"['Любовь и голуби (1984)', '12+']"
80,Null,Кристофер Нолан,"Великобритания, США","«Дружба, ставшая соперничеством. Соперничество, превратившееся во вражду»",Null,Null,Null,Null,Уолли Пфистер,"17 октября 2006, ...","Нэйтан Краули, Кевин Кэвэно, Джоан Бергин, ...","Джонатан Нолан, Кристофер Нолан, Кристофер Прист","18 января 2007, «Каро-Премьер»","15 сентября 2009, «Юниверсал Пикчерс Рус»",Ли Смит,$53 089 891,Null,8 млн,"триллер, фантастика, драма, детектив","13 октября 2011, «CP-Digital»",PG-13,"Кристофер Нолан, Аарон Райдер, Эмма Томас, ...",Дэвид Джульян,Null,125 мин. / 02:05,16+,2006,Null,Null,+ $56 586 420 = $109 676 311,$40 000 000,$1 965 984,"['Престиж (2006)', 'The Prestige16+']"
81,Null,Элем Климов,СССР,—,Null,Null,Русский,Степан Терещенко,Алексей Родионов,"9 июля 1985, ...","Виктор Петров, Элеонора Семенова","Алесь Адамович, Элем Климов","6 мая 2021, «Искусство кино», «Мосфильм»",Null,Валерия Белова,Null,Null,29.8 млн,"драма, военный, история","20 февраля 2014, «Азимут»",Null,Null,Олег Янченко,Null,136 мин. / 02:16,16+,1985,Нет,Null,$96 908,Null,Null,"['Иди и смотри (1985)', '16+']"
82,Null,Габриэле Муччино,США,«Они не знакомы. У них разные судьбы. Но у них одна тайна»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Филипп Ле Сурд,"19 декабря 2008, ...","Дж. Майкл Рива, Дэвид Ф. Классен, Шэрен Дэвис, ...",Грант Нипорте,"15 января 2009, «BVSPR Sony»","21 мая 2009, «Columbia/Sony»",Хьюз Уинборн,$69 951 824,Null,9.6 млн,"драма, мелодрама","26 февраля 2009, «Columbia/Sony»",PG-13,"Тодд Блэк, Джейсон Блюменталь, Джеймс Ласситер, ...",Анхело Мильи,Null,118 мин. / 01:58,16+,2008,"Русские, Английские",Null,+ $98 216 377 = $168 168 201,$55 000 000,$1 431 747,"['Семь жизней (2008)', 'Seven Pounds16+']"
83,Null,"Пит Доктер, Дэвид Силверман, Ли Анкрич",США,"«We Think They Are Scary, But Really We Scare Them!»",$50 000 000,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"28 октября 2001, ...","Харли Джессуп, Боб Поли, Тиа В. Крэттер, ...","Эндрю Стэнтон, Дэниел Герсон, Пит Доктер, ...","21 марта 2002, «Каскад фильм»","22 октября 2009, «Уолт Дисней Компани СНГ»",Джим Стюарт,$255 873 250,Null,49 млн,"мультфильм, фэнтези, комедия, приключения, семейный","24 мая 2011, «Уолт Дисней Компани СНГ»",G,"Дарла К. Андерсон, Карен Дюфильо, Джон Лассетер, ...",Рэнди Ньюман,Null,92 мин. / 01:32,0+,2001,"Русские, Английские","17 января 2013, «WDSSPR»",+ $272 900 000 = $528 773 250,$115 000 000,$2 760 000,"['Корпорация монстров (2001)', 'Monsters, Inc.0+']"
84,Null,"Эндрю Адамсон, Келли Эсбёри, Конрад Вернон",США,"«Not so far, far away...»",$50 000 000,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"8 мая 2004, ...","Гийом Аретос, Стив Пилчер, Айзис Массенден","Джо Стиллман, Дж. Дэвид Стем, Дэвид Н. Уайсс, ...","19 августа 2004, «UIP»","23 февраля 2012, «Новый Диск»","Майкл Эндрюс, Сим Эван-Джонс",$441 226 247,Null,71.1 млн,"мультфильм, фэнтези, мелодрама, комедия, приключения, семейный","11 ноября 2004, «Premier Digital»",PG,"Дэвид Липман, Арон Уорнер, Джон Х. Уильямс, ...",Гарри Грегсон-Уильямс,Null,93 мин. / 01:33,6+,2004,Русские,Null,+ $481 849 089 = $923 075 336,$150 000 000,$5 750 000,"['Шрэк 2 (2004)', 'Shrek 26+']"
85,Null,Питер Уир,США,«Он в прямом эфире и даже не подозревает...»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Питер Бижу,"1 июня 1998, ...","Деннис Гасснер, Ричард Л. Джонсон, Мэрлин Мэтьюз, ...",Эндрю Никкол,"5 ноября 1998, «Ист-Вест»",Null,"Уилльям М. Андерсон, Ли Смит",$125 618 201,Null,26.8 млн,"драма, комедия","15 декабря 2009, «Юниверсал Пикчерс Рус»",PG,"Эдвард С. Фельдман, Эндрю Никкол, Скотт Рудин, ...",Буркхард фон Далльвиц,Null,103 мин. / 01:43,12+,1998,Русские,Null,+ $138 500 000 = $264 118 201,$60 000 000,Null,"['Шоу Трумана (1998)', 'The Truman Show12+']"
86,Null,Мартин Скорсезе,"США, Гонконг",«Свой среди чужих»,Null,Null,Null,Null,Михаэль Балльхаус,"26 сентября 2006, ...","Кристи Зиа, Тереза Кэррикер-Тейер, Сэнди Пауэлл, ...","Уильям Монахэн, Алан Мак, Феликс Чон","5 октября 2006, «Централ Партнершип»",Null,Тельма Скунмейкер,$132 384 315,Null,20.1 млн,"триллер, драма, криминал","2 ноября 2006, «CP-Digital»",R,"Брэд Грэй, Грэм Кинг, Джанни Нуннари, ...",Говард Шор,Null,151 мин. / 02:31,16+,2006,Null,Null,+ $159 080 719 = $291 465 034,$90 000 000,$2 005 000,"['Отступники (2006)', 'The Departed16+']"
87,Null,Дэмьен Шазелл,США,«The road to greatness can take you to the edge»,Null,Null,Русский,Null,Шэрон Мейр,"16 января 2014, ...","Мелани Джонс, Хантер Браун, Лиза Норсиа, ...",Дэмьен Шазелл,"23 октября 2014, «Премиум Фильм»",Null,Том Кросс,$13 092 000,Null,639.7 тыс,"драма, музыка","26 февраля 2015, «CP Дистрибуция»",R,"Джейсон Блум, Хелен Эстабрук, Дэвид Ланкастер, ...",Джастин Гурвиц,Null,106 мин. / 01:46,16+,2013,Нет,Null,+ $35 890 041 = $48 982 041,$3 300 000,$189 987,"['Одержимость (2013)', 'Whiplash16+']"
88,Null,Гор Вербински,США,"«At the End of the World, the Adventure Begins»",Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Дариуш Вольски,"19 мая 2007, ...","Рик Хайнрихс, Брюс Кроун, Джон Декстер, ...","Тед Эллиот, Терри Россио, Стюарт Битти, ...","24 мая 2007, «BVSPR»","1 октября 2009, «Уолт Дисней Компани СНГ»","Стивен Е. Ривкин, Крэйг Вуд",$309 420 425,Null,45 млн,"приключения, боевик, фэнтези","3 апреля 2012, «ВС трейд»",PG-13,"Джерри Брукхаймер, Брюс Хендрикс, Джек Ни, ...",Ханс Циммер,Null,169 мин. / 02:49,12+,2007,"Русские, Английские",Null,+ $651 576 067 = $960 996 492,$300 000 000,$30 850 884,"['Пираты Карибского моря: На краю света (2007)', ""Pirates of the Caribbean: At World's End12+""]"
89,Null,Габриэле Муччино,США,"«Никому не позволяй говорить, будто ты чего-то не можешь... У тебя есть мечта - защищай её»",Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Фидон Папамайкл,"15 декабря 2006, ...","Дж. Майкл Рива, Дэвид Ф. Классен, Шэрен Дэвис, ...",Стивен Конрад,"22 марта 2007, «Каскад фильм»","19 июля 2007, «Columbia/Sony»",Хьюз Уинборн,$163 566 459,Null,24.4 млн,"драма, биография","7 апреля 2007, «Columbia/Sony»",PG-13,"Тодд Блэк, Джейсон Блюменталь, Джеймс Ласситер, ...",Андреа Гуэрра,Null,117 мин. / 01:57,12+,2006,"Русские, Английские",Null,+ $143 510 836 = $307 077 295,$55 000 000,$436 781,"['В погоне за счастьем (2006)', 'The Pursuit of Happyness12+']"
90,Null,Искра Бабич,СССР,—,Null,Null,Русский,Борис Орешкин,Сергей Зайцев,"18 января 1982, ...","Василий Голиков, Наталья Иванова","Искра Бабич, Валентин Михайлов",Null,Null,Любовь Бутузова,Null,Null,38.4 млн,драма,"18 марта 2010, «Lizard Cinema Trade»",Null,Null,Владимир Комаров,Null,97 мин. / 01:37,0+,1981,Нет,Null,Null,Null,Null,"['Мужики!.. (1981)', '0+']"
91,Null,Хаяо Миядзаки,Япония,«Live on»,Null,Null,"Русский (Reanimedia), Японский, Японский 5.1",Null,Ацуси Окуи,"12 июля 1997, ...","Сатоси Курода, Кадзуо Ога, Ёдзи Такэсигэ, ...",Хаяо Миядзаки,"24 июня 2010, «RUSCICO»",Null,"Хаяо Миядзаки, Такэси Сэяма",$2 375 308,Null,14.2 млн,"аниме, мультфильм, фэнтези, драма, приключения","29 ноября 2001, «West Video»",PG-13,"Тосио Судзуки, Ютака Нарита, Сэйдзи Окуда, ...",Дзё Хисаиси,Null,134 мин. / 02:14,12+,1997,"Русские, Английские","27 июня 2019, «Пионер»",+ $157 039 061 = $159 414 369,¥ 2 400 000 000,Null,"['Принцесса Мононоке (1997)', 'Mononoke-hime12+']"
92,Null,Сидни Люмет,США,«they have twelve scraps of paper... twelve chances to kill!»,Null,Null,Null,Null,Борис Кауфман,"10 апреля 1957, ...",Роберт Маркел,Реджинальд Роуз,Null,Null,Карл Лернер,Null,Null,6.5 тыс,"драма, детектив, криминал",Null,Null,"Генри Фонда, Реджинальд Роуз, Джордж Джастин",Кенион Хопкинс,Null,96 мин. / 01:36,16+,1956,Null,Null,Null,$340 000,Null,"['12 разгневанных мужчин (1956)', '12 Angry Men16+']"
93,Null,Мэл Гибсон,США,"«Все умирают, но не все живут по-настоящему»",Null,Null,"Русский, Английский, Английский 5.1",Null,Джон Толл,"18 мая 1995, ...","Томас Е. Сандерс, Кен Корт, Нэйтан Краули, ...",Рэндалл Уоллес,Null,"21 октября 2009, «Двадцатый Век Фокс СНГ»",Стивен Розенблюм,$75 609 945,Null,17.4 млн,"история, биография, драма, военный","19 июля 2005, «Гемини-Фильм»",R,"Брюс Дэвей, Мэл Гибсон, Алан Лэдд мл., ...",Джеймс Хорнер,Null,178 мин. / 02:58,16+,1995,"Русские, Английские",Null,+ $137 606 271 = $213 216 216,$72 000 000,Null,"['Храброе сердце (1995)', 'Braveheart16+']"
94,Null,Игорь Масленников,СССР,—,Null,Null,Русский,Евгения Дихнова,Юрий Векслер,25 июня 1983,"Белла Маневич-Каплан, Нелли Лев","Игорь Масленников, Артур Конан Дойл",Null,Null,Людмила Образумова,Null,Null,Null,"мелодрама, криминал, детектив","11 февраля 2010, «Lizard Cinema Trade»",Null,Null,Владимир Дашкевич,Null,151 мин. / 02:31,12+,1983,Нет,Null,Null,Null,Null,"['Шерлок Холмс и доктор Ватсон: Сокровища Агры (ТВ, 1983)', '12+']"
95,Null,"Рон Клементс, Джон Маскер",США,"«Imagine if you had three wishes, three hopes, three dreams and they all could come true»",Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"8 ноября 1992, ...","Ричард Вандер Венде, Ральф Эгглстон, Майкл Перраса мл., ...","Рон Клементс, Джон Маскер, Тед Эллиот, ...",Null,"12 марта 2013, «Уолт Дисней Компани СНГ»",Х. Ли Петерсон,$217 350 219,Null,52.4 млн,"мультфильм, мюзикл, фэнтези, мелодрама, комедия, приключения, семейный","4 марта 2010, «Уолт Дисней Компани СНГ»",G,"Рон Клементс, Джон Маскер, Дональд В. Эрнст, ...",Алан Менкен,Null,90 мин. / 01:30,0+,1992,"Русские, Английские",Null,+ $286 700 000 = $504 050 219,$28 000 000,Null,"['Аладдин (1992)', 'Aladdin0+']"
96,Null,Михаил Калатозов,СССР,—,Null,Null,Русский,"Михаил Калатозов, Игорь Вакар",Сергей Урусевский,"12 октября 1957, ...","Евгений Свидетелев, Л. Наумов",Виктор Розов,"8 мая 2019, «Искусство кино»",Null,Мария Тимофеева,Null,Null,28.3 млн,"военный, мелодрама, история, драма","6 июня 2013, «Мистерия Звука»",Null,Null,Моисей Вайнберг,Null,95 мин. / 01:35,12+,1957,Нет,"13 октября 2022, «Искусство кино»",$7 486,Null,Null,"['Летят журавли (1957)', '12+']"
97,Null,Марк Захаров,СССР,—,Null,Null,Русский,Лазарь Милькис,Владимир Нахабцев,1 января 1980,"Георгий Колганов, Наталья Фирсова",Григорий Горин,Null,Null,Ирма Цекавая,Null,Null,Null,"фэнтези, драма, комедия","11 января 2011, «Парадиз»",Null,Null,Алексей Рыбников,Null,134 мин. / 02:14,0+,1979,Нет,Null,Null,Null,Null,"['Тот самый Мюнхгаузен (ТВ, 1979)', '0+']"
98,Null,Ханнес Холм,Швеция,«Misery Hates Company»,Null,Null,"Русский, Русский 5.1, Шведский",Null,Йоран Халльберг,"13 декабря 2015, ...","Ян Улоф Огрен, Камилла Линдблом","Ханнес Холм, Фредрик Бакман","30 июня 2016, «Русский Репортаж»",Null,Фредерик Морхеден,$3 479 315,Null,6.4 тыс,"драма, мелодрама, комедия",Null,PG-13,"Анника Белландер, Никлас Викстрем Никастро, Хелен Альссон, ...",Гауте Сторас,Null,116 мин. / 01:56,16+,2015,Русские,"24 ноября 2022, «Иноекино», «Русский Репортаж»",+ $27 213 574 = $30 692 889,Null,$49 215,"['Вторая жизнь Уве (2015)', 'En man som heter Ove16+']"
